"row","count.x","abv","ibu","id","beer","style","brewery_id","ounces","style2","count.y","brewery","city","state","label"
"55",55,0.09,50,2218,"Ironman","English Strong Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Ironman (450 North Brewing Company)"
"56",56,0.046,15,2217,"Honey Kolsch","K̦lsch",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Honey Kolsch (450 North Brewing Company)"
"57",57,0.052,18,2216,"Copperhead Amber","Belgian Dark Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Copperhead Amber (450 North Brewing Company)"
"58",58,0.059,75,972,"Rude Parrot IPA","American IPA",481,16,"American IPA",482,"7 Seas Brewing Company","Gig Harbor","WA","Rude Parrot IPA (7 Seas Brewing Company)"
"59",59,0.054,30,866,"British Pale Ale (2010)","English Pale Ale",481,16,NA,482,"7 Seas Brewing Company","Gig Harbor","WA","British Pale Ale (2010) (7 Seas Brewing Company)"
"60",60,0.054,30,48,"British Pale Ale","English Pale Ale",481,16,NA,482,"7 Seas Brewing Company","Gig Harbor","WA","British Pale Ale (7 Seas Brewing Company)"
"61",61,0.084,82,47,"Ballz Deep Double IPA","American Double / Imperial IPA",481,16,"American Double / Imperial IPA",482,"7 Seas Brewing Company","Gig Harbor","WA","Ballz Deep Double IPA (7 Seas Brewing Company)"
"62",62,0.038,NA,1583,"Wolfman's Berliner","Berliner Weissbier",373,12,NA,374,"7venth Sun","Dunedin","FL","Wolfman's Berliner (7venth Sun)"
"63",63,0.055,26,1165,"Colorado Native","American Amber / Red Lager",462,12,NA,463,"AC Golden Brewing Company","Golden","CO","Colorado Native (AC Golden Brewing Company)"
"64",64,0.055,26,431,"Colorado Native (2011)","American Amber / Red Lager",462,12,NA,463,"AC Golden Brewing Company","Golden","CO","Colorado Native (2011) (AC Golden Brewing Company)"
"65",65,0.065,52,516,"Jockamo IPA","American IPA",533,12,"American IPA",534,"Abita Brewing Company","Abita Springs","LA","Jockamo IPA (Abita Brewing Company)"
"66",66,0.042,13,515,"Purple Haze","Fruit / Vegetable Beer",533,12,NA,534,"Abita Brewing Company","Abita Springs","LA","Purple Haze (Abita Brewing Company)"
"67",67,0.045,17,514,"Abita Amber","American Amber / Red Lager",533,12,NA,534,"Abita Brewing Company","Abita Springs","LA","Abita Amber (Abita Brewing Company)"
"68",68,0.0819999999999999,68,2540,"Citra Ass Down","American IPA",62,16,"American IPA",63,"Against The Grain Brewery","Louisville","KY","Citra Ass Down (Against The Grain Brewery)"
"69",69,0.05,20,2539,"The Brown Note","American Brown Ale",62,16,NA,63,"Against The Grain Brewery","Louisville","KY","The Brown Note (Against The Grain Brewery)"
"70",70,0.08,68,2686,"Citra Ass Down","American Double / Imperial IPA",1,16,"American Double / Imperial IPA",2,"Against the Grain Brewery","Louisville","KY","Citra Ass Down (Against the Grain Brewery)"
"71",71,0.125,80,2685,"London Balling","English Barleywine",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","London Balling (Against the Grain Brewery)"
"72",72,0.077,25,2684,"35 K","Milk / Sweet Stout",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","35 K (Against the Grain Brewery)"
"73",73,0.042,42,2683,"A Beer","American Pale Ale (APA)",1,16,"American Pale Ale (APA)",2,"Against the Grain Brewery","Louisville","KY","A Beer (Against the Grain Brewery)"
"74",74,0.05,25,2682,"Rules are Rules","German Pilsener",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Rules are Rules (Against the Grain Brewery)"
"75",75,0.066,21,2681,"Flesh Gourd'n","Pumpkin Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Flesh Gourd'n (Against the Grain Brewery)"
"76",76,0.04,13,2680,"Sho'nuff","Belgian Pale Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Sho'nuff (Against the Grain Brewery)"
"77",77,0.055,17,2679,"Bloody Show","American Pilsner",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Bloody Show (Against the Grain Brewery)"
"78",78,0.076,68,2678,"Rico Sauvin","American Double / Imperial IPA",1,16,"American Double / Imperial IPA",2,"Against the Grain Brewery","Louisville","KY","Rico Sauvin (Against the Grain Brewery)"
"79",79,0.051,38,2677,"Coq de la Marche","Saison / Farmhouse Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Coq de la Marche (Against the Grain Brewery)"
"80",80,0.065,NA,2676,"Kamen Knuddeln","American Wild Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Kamen Knuddeln (Against the Grain Brewery)"
"81",81,0.06,65,2675,"Pile of Face","American IPA",1,16,"American IPA",2,"Against the Grain Brewery","Louisville","KY","Pile of Face (Against the Grain Brewery)"
"82",82,0.05,20,2674,"The Brown Note","English Brown Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","The Brown Note (Against the Grain Brewery)"
"83",83,0.053,35,1594,"Maylani's Coconut Stout","American Stout",367,16,NA,368,"Airways Brewing Company","Kent","WA","Maylani's Coconut Stout (Airways Brewing Company)"
"84",84,0.05,35,1162,"Oatmeal PSA","American Pale Ale (APA)",367,16,"American Pale Ale (APA)",368,"Airways Brewing Company","Kent","WA","Oatmeal PSA (Airways Brewing Company)"
"85",85,0.052,33,1137,"Pre Flight Pilsner","American Pilsner",367,16,NA,368,"Airways Brewing Company","Kent","WA","Pre Flight Pilsner (Airways Brewing Company)"
"86",86,0.04,20,2403,"P-Town Pilsner","American Pilsner",117,12,NA,118,"Alameda Brewing","Portland","OR","P-Town Pilsner (Alameda Brewing)"
"87",87,0.053,36,2402,"Klickitat Pale Ale","American Pale Ale (APA)",117,12,"American Pale Ale (APA)",118,"Alameda Brewing","Portland","OR","Klickitat Pale Ale (Alameda Brewing)"
"88",88,0.0819999999999999,103,2401,"Yellow Wolf Imperial IPA","American Double / Imperial IPA",117,12,"American Double / Imperial IPA",118,"Alameda Brewing","Portland","OR","Yellow Wolf Imperial IPA (Alameda Brewing)"
"89",89,0.053,40,1921,"Freeride APA","American Pale Ale (APA)",270,12,"American Pale Ale (APA)",271,"Alaskan Brewing Company","Juneau","AK","Freeride APA (Alaskan Brewing Company)"
"90",90,0.053,18,1920,"Alaskan Amber","Altbier",270,12,NA,271,"Alaskan Brewing Company","Juneau","AK","Alaskan Amber (Alaskan Brewing Company)"
"91",91,0.057,NA,2501,"Hopalicious","American Pale Ale (APA)",73,12,"American Pale Ale (APA)",74,"Ale Asylum","Madison","WI","Hopalicious (Ale Asylum)"
"92",92,0.043,NA,1535,"Kentucky K̦lsch","K̦lsch",388,16,NA,389,"Alltech's Lexington Brewing Company","Lexington","KY","Kentucky K̦lsch (Alltech's Lexington Brewing Company)"
"93",93,0.065,NA,1149,"Kentucky IPA","American IPA",388,16,"American IPA",389,"Alltech's Lexington Brewing Company","Lexington","KY","Kentucky IPA (Alltech's Lexington Brewing Company)"
"94",94,0.054,NA,1474,"Dusty Trail Pale Ale","American Pale Ale (APA)",401,16,"American Pale Ale (APA)",402,"Amnesia Brewing Company","Washougal","WA","Dusty Trail Pale Ale (Amnesia Brewing Company)"
"95",95,0.062,NA,1473,"Damnesia","American IPA",401,16,"American IPA",402,"Amnesia Brewing Company","Washougal","WA","Damnesia (Amnesia Brewing Company)"
"96",96,0.062,43,837,"Desolation IPA","American IPA",401,16,"American IPA",402,"Amnesia Brewing Company","Washougal","WA","Desolation IPA (Amnesia Brewing Company)"
"97",97,0.059,NA,2592,"Liberty Ale","American IPA",35,12,"American IPA",36,"Anchor Brewing Company","San Francisco","CA","Liberty Ale (Anchor Brewing Company)"
